sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
28154647344,2020-07-23T10:09:30Z,79,21,22,36,73,55,0.09531013615733737
28141760380,2020-07-22T09:46:00Z,75,21,17,37,50,54,0.09313725490196079
28128140099,2020-07-21T12:24:30Z,92,25,21,46,148,54,0.09640397857689365
28114157490,2020-07-20T09:22:30Z,71,19,21,31,55,54,0.1045531197301855
28102764203,2020-07-19T13:36:30Z,80,22,19,39,90,54,0.14396456256921372
28089852334,2020-07-18T13:29:30Z,87,23,19,45,110,53,0.12295786758383491
28075807191,2020-07-17T10:30:30Z,89,24,22,43,135,55,0.11471321695760599
28073362164,2020-07-16T10:15:30Z,69,20,22,27,31,55,0.07399577167019028
28047027965,2020-07-15T09:20:30Z,78,21,22,35,82,57,0.09917355371900827
28033729561,2020-07-14T11:48:00Z,71,21,22,28,47,56,0.094
28023743417,2020-07-13T09:12:00Z,74,21,23,30,41,58,0.06153846153846154
28023743416,2020-07-12T13:28:30Z,76,19,23,34,63,57,0.08345752608047691
28023743415,2020-07-11T12:51:30Z,87,22,20,45,97,57,0.12850678733031673
27979145417,2020-07-10T12:00:30Z,85,20,22,43,80,57,0.10032017075773746
27964767889,2020-07-09T11:35:30Z,80,20,22,38,75,57,0.09764309764309764
27948892065,2020-07-08T10:15:30Z,70,21,19,30,85,55,0.09370816599732262
27933494959,2020-07-07T09:31:30Z,73,19,21,33,71,55,0.11624834874504623
27913994083,2020-07-06T09:27:30Z,64,17,20,27,45,55,0.13836477987421383
27905396033,2020-07-05T12:07:00Z,73,21,18,34,51,54,0.14686248331108145
27889438279,2020-07-04T13:01:00Z,86,23,21,42,109,56,0.12926829268292683
27878796304,2020-07-03T13:04:30Z,73,21,22,30,41,56,0.07756232686980609
27865366122,2020-07-02T12:43:30Z,84,19,22,43,80,56,0.104638619201726
27852902057,2020-07-01T11:11:30Z,90,24,21,45,132,56,0.11278792692613185
27837029146,2020-06-30T11:13:00Z,78,21,22,35,53,56,0.10268948655256724
27825834829,2020-06-29T13:13:00Z,83,21,21,41,86,57,0.10624417520969245
27811462788,2020-06-28T12:43:00Z,87,23,21,43,109,57,0.09577754891864057
27798310481,2020-06-27T11:08:30Z,83,22,20,41,88,59,0.13051643192488263
27788512527,2020-06-26T08:01:30Z,79,19,21,39,104,58,0.07897664071190211
27774274919,2020-06-25T12:27:30Z,78,21,21,36,63,58,0.09975062344139651
27763334914,2020-06-24T12:49:00Z,71,18,19,34,52,56,0.12694877505567928
27728601782,2020-06-22T05:09:00Z,84,22,21,41,94,55,0.10344827586206896
27708422653,2020-06-20T13:20:30Z,90,23,21,46,113,56,0.11462450592885376
27708422652,2020-06-19T13:09:00Z,69,20,22,27,32,56,0.1073558648111332
27708422651,2020-06-18T10:43:30Z,87,23,21,43,119,56,0.1294685990338164
27708422650,2020-06-17T10:35:30Z,79,20,22,37,93,56,0.12428734321550741
27654474615,2020-06-16T12:46:00Z,84,22,21,41,91,58,0.10321324245374879
27640159894,2020-06-15T11:57:30Z,74,20,22,32,34,58,0.09131075110456553
27625257532,2020-06-14T09:48:00Z,86,21,23,42,79,58,0.08393782383419689
27612615373,2020-06-13T08:58:00Z,90,23,21,46,108,59,0.09555741827326068
27599728952,2020-06-12T09:47:30Z,73,22,18,33,83,57,0.12777053455019557
27588002255,2020-06-11T09:48:00Z,85,22,21,42,97,56,0.11166007905138339
27588002254,2020-06-10T10:19:30Z,84,22,20,42,99,56,0.10929519918283963
27554525741,2020-06-09T12:16:30Z,87,23,18,46,110,55,0.14338575393154487
27538574849,2020-06-08T09:38:00Z,92,24,22,46,135,57,0.09097270818754374
27513311708,2020-06-06T14:13:30Z,71,21,16,34,65,55,0.17891373801916932
27499328488,2020-06-05T09:45:30Z,79,21,22,36,73,56,0.0962772785622593
27489847100,2020-06-04T13:12:00Z,74,20,21,33,41,56,0.11239193083573487
27470984874,2020-06-03T11:49:00Z,88,23,20,45,121,57,0.14996114996114995
27460157357,2020-06-02T12:35:00Z,78,21,21,36,68,58,0.15423514538558786
27460157355,2020-06-01T12:46:00Z,83,21,22,40,78,59,0.11149825783972125
27427836532,2020-05-31T10:19:00Z,89,22,21,46,98,59,0.11722272317403065
27416491431,2020-05-30T12:31:30Z,85,23,20,42,109,58,0.12768130745658834
27404043362,2020-05-29T10:43:30Z,87,24,18,45,127,57,0.16306156405990016
27389873030,2020-05-28T09:51:30Z,73,21,19,33,69,57,0.16331360946745563
27374110603,2020-05-27T10:24:30Z,83,22,18,43,112,56,0.1789090909090909
27364802438,2020-05-26T11:59:30Z,81,22,21,38,95,56,0.1
27344920165,2020-05-25T08:32:00Z,75,20,20,35,86,56,0.13654096228868662
27333926701,2020-05-24T12:00:30Z,86,22,20,44,136,56,0.12685459940652818
27319035182,2020-05-23T12:50:30Z,82,22,21,39,90,56,0.0984936268829664
27296162201,2020-05-22T12:15:00Z,83,19,22,42,67,57,0.08753861997940268
27282875519,2020-05-21T08:29:00Z,72,20,19,33,57,56,0.06403940886699508
27274138492,2020-05-20T12:28:30Z,78,21,22,35,51,54,0.05815602836879433
27245520001,2020-05-19T08:41:30Z,81,21,23,37,76,55,0.0828258221680877
27234804938,2020-05-18T12:50:00Z,81,22,21,38,83,55,0.1215909090909091
27234804937,2020-05-17T14:01:30Z,78,21,19,38,75,55,0.10741138560687433
27203820791,2020-05-16T12:23:30Z,79,23,22,34,128,54,0.08565072302558398
27192509825,2020-05-15T13:21:30Z,89,24,20,45,134,55,0.14209320091673033
27178555817,2020-05-14T13:33:00Z,79,21,22,36,77,55,0.11477572559366754
27156667751,2020-05-13T11:40:30Z,76,22,20,34,92,55,0.13616398243045388
27127267800,2020-05-11T14:58:30Z,92,24,22,46,127,56,0.08615948670944087
27111935390,2020-05-10T12:15:00Z,86,22,21,43,107,57,0.1475237091675448
27097271285,2020-05-09T09:17:00Z,56,20,16,20,36,56,0.20570264765784113
27086371734,2020-05-08T13:59:30Z,88,22,21,45,94,57,0.13980409617097062
27074697797,2020-05-07T15:57:00Z,74,22,18,34,84,54,0.09495548961424333
27056967912,2020-05-06T15:35:00Z,89,22,21,46,97,55,0.11899133175728921
27040888410,2020-05-05T17:50:00Z,54,15,13,26,37,54,0.10344827586206896
27022439371,2020-05-04T12:05:30Z,90,24,21,45,132,54,0.10606060606060606
27008387204,2020-05-03T09:35:00Z,69,17,21,31,47,54,0.09924812030075188
26997844057,2020-05-02T14:34:30Z,90,23,21,46,117,55,0.12658227848101267
26985328179,2020-05-01T14:30:30Z,59,17,19,23,40,53,0.14828209764918626
26969117649,2020-04-30T13:13:00Z,82,19,21,42,70,54,0.12155260469867211
26958251875,2020-04-29T12:52:00Z,86,20,21,45,69,55,0.12292051756007394
26958251874,2020-04-28T13:05:00Z,81,21,19,41,67,54,0.15392254220456802
26924882211,2020-04-27T13:23:00Z,86,22,19,45,83,55,0.14986619090098127
26909816741,2020-04-26T13:23:00Z,83,19,20,44,96,57,0.16183986371379896
26896657420,2020-04-25T12:32:00Z,80,21,20,39,44,58,0.14857744994731295
26884903492,2020-04-24T14:00:30Z,82,21,20,41,52,57,0.12395929694727105
26872460020,2020-04-23T12:36:30Z,79,20,20,39,58,56,0.12375690607734807
26856808186,2020-04-22T12:00:30Z,73,18,18,37,72,55,0.15990730011587487
26838711805,2020-04-21T10:31:30Z,87,25,20,42,172,58,0.12571726656233698
26810703496,2020-04-19T12:16:30Z,73,21,19,33,78,56,0.12554112554112554
26798111112,2020-04-18T13:06:00Z,90,22,22,46,99,56,0.08514664143803216
26785411941,2020-04-17T10:34:00Z,75,21,18,36,76,54,0.13833528722157093
26770369379,2020-04-16T09:37:00Z,86,23,21,42,112,54,0.11764705882352941
26758071088,2020-04-15T12:00:00Z,77,19,21,37,92,55,0.12915129151291513
26741218906,2020-04-14T12:38:30Z,86,21,22,43,76,56,0.09071274298056156
26727110297,2020-04-13T11:32:30Z,86,23,22,41,119,56,0.09697601668404589
26710594131,2020-04-12T08:51:00Z,78,21,20,37,66,56,0.11514392991239049
26699396632,2020-04-11T12:44:30Z,87,21,20,46,76,56,0.14472455648926238
26688912669,2020-04-10T14:41:30Z,82,21,22,39,75,57,0.0937129300118624
26671842383,2020-04-09T09:24:00Z,80,21,21,38,77,57,0.11307420494699646
26660720517,2020-04-08T12:52:30Z,83,22,22,39,92,58,0.10677808727948004
26646667887,2020-04-07T14:12:30Z,82,21,21,40,108,57,0.1268882175226586
26631865911,2020-04-06T15:33:00Z,80,21,23,36,66,57,0.08597883597883597
26617022016,2020-04-05T11:48:00Z,86,22,21,43,92,58,0.1110009910802775
26605080215,2020-04-04T11:18:00Z,92,23,23,46,116,60,0.08384279475982533
26592718014,2020-04-03T12:51:00Z,85,22,20,43,95,59,0.1261730969760167
26577376213,2020-04-02T12:00:30Z,76,22,20,34,87,58,0.10727056019070322
26561650665,2020-04-01T10:54:30Z,83,23,20,40,111,57,0.12349117920148561
26549094643,2020-03-31T11:15:30Z,72,21,19,32,48,57,0.1577574967405476
26537951541,2020-03-30T14:01:00Z,65,17,18,30,41,55,0.1242603550295858
26523174261,2020-03-29T12:05:00Z,76,22,18,36,86,55,0.20867526377491208
26512184971,2020-03-28T11:06:00Z,88,24,22,42,141,57,0.11843361986628462
26499467903,2020-03-27T10:37:30Z,77,21,21,35,76,55,0.1313969571230982
26487776664,2020-03-26T13:45:30Z,82,21,23,38,61,55,0.07563025210084033
26473401305,2020-03-25T08:53:30Z,85,22,19,44,94,55,0.11775200713648529
26461474751,2020-03-24T08:03:30Z,74,18,23,33,48,57,0.07636887608069164
